,mean price
1996-04-01,11.514263656083454
1996-05-01,11.515620114910819
1996-06-01,11.516948575182408
1996-07-01,11.518235757662946
1996-08-01,11.519575746755715
1996-09-01,11.52105759713592
1996-10-01,11.522884148988393
1996-11-01,11.524933301402422
1996-12-01,11.527882930648852
1997-01-01,11.531608608218194
1997-02-01,11.535252316170952
1997-03-01,11.538353495478233
1997-04-01,11.541590453851331
1997-05-01,11.544926375794795
1997-06-01,11.548304574049988
1997-07-01,11.551730542925311
1997-08-01,11.555260127427614
1997-09-01,11.558961957848721
1997-10-01,11.563012661877064
1997-11-01,11.567304453663574
1997-12-01,11.572482269723242
1998-01-01,11.578333641924027
1998-02-01,11.583978699478825
1998-03-01,11.58901696424349
1998-04-01,11.594109419877714
1998-05-01,11.599107919094067
1998-06-01,11.604001169780469
1998-07-01,11.608776598904683
1998-08-01,11.613492081355844
1998-09-01,11.61818661902245
1998-10-01,11.62307180897387
1998-11-01,11.62805224653462
1998-12-01,11.633684008358719
1999-01-01,11.639852634936267
1999-02-01,11.645840813280193
1999-03-01,11.651292977724662
1999-04-01,11.656762544508295
1999-05-01,11.662134667875183
1999-06-01,11.667417336296895
1999-07-01,11.672622774714434
1999-08-01,11.677814145245321
1999-09-01,11.683037618728111
1999-10-01,11.688513708637576
1999-11-01,11.694153570139276
1999-12-01,11.700455278477422
2000-01-01,11.707354444180304
2000-02-01,11.714169371677874
2000-03-01,11.720427170925822
2000-04-01,11.726555043374432
2000-05-01,11.732466846800296
2000-06-01,11.73817355939809
2000-07-01,11.743679755841368
2000-08-01,11.749053985065927
2000-09-01,11.754389030008705
2000-10-01,11.759908996142538
2000-11-01,11.765543607973958
2000-12-01,11.771568654317921
2001-01-01,11.777978539424073
2001-02-01,11.784421699984545
2001-03-01,11.79054660645275
2001-04-01,11.79644982569281
2001-05-01,11.802006487298103
2001-06-01,11.807277421219547
2001-07-01,11.812296214460858
2001-08-01,11.817132581939436
2001-09-01,11.821959394566052
2001-10-01,11.827012497788903
2001-11-01,11.832214738664778
2001-12-01,11.837769244046616
2002-01-01,11.8438038743997
2002-02-01,11.850124459346212
2002-03-01,11.856336719985913
2002-04-01,11.862382204809828
2002-05-01,11.868170463495522
2002-06-01,11.873755373518282
2002-07-01,11.879186604887023
2002-08-01,11.88455484043895
2002-09-01,11.890039260341613
2002-10-01,11.895646425796961
2002-11-01,11.902458064274212
2002-12-01,11.910105014077738
2003-01-01,11.91697004143406
2003-02-01,11.922675608078558
2003-03-01,11.928513612144926
2003-04-01,11.934510591452645
2003-05-01,11.940720553961068
2003-06-01,11.947297189321167
2003-07-01,11.954238564197933
2003-08-01,11.961336058909412
2003-09-01,11.968517268288316
2003-10-01,11.975681309553666
2003-11-01,11.982489323220694
2003-12-01,11.989045096496707
2004-01-01,11.995780498870324
2004-02-01,12.00298328164944
2004-03-01,12.010747000155312
2004-04-01,12.019193948099163
2004-05-01,12.028284267853417
2004-06-01,12.038028455865875
2004-07-01,12.048180462265206
2004-08-01,12.058382677157148
2004-09-01,12.06858465061247
2004-10-01,12.078742929069913
2004-11-01,12.088406077271056
2004-12-01,12.097687731820887
2005-01-01,12.106538444594678
2005-02-01,12.114823370633333
2005-03-01,12.123017095381798
2005-04-01,12.131609165563704
2005-05-01,12.140321859662894
2005-06-01,12.149200725708754
2005-07-01,12.158113813400742
2005-08-01,12.166638145198606
2005-09-01,12.174672239625487
2005-10-01,12.182145466521689
2005-11-01,12.188788382284475
2005-12-01,12.194669084093938
2006-01-01,12.19994806663535
2006-02-01,12.204690531656903
2006-03-01,12.209373659199688
2006-04-01,12.213984740530842
2006-05-01,12.218047949020544
2006-06-01,12.221462795559995
2006-07-01,12.224236698128072
2006-08-01,12.226205049885172
2006-09-01,12.22757964229336
2006-10-01,12.228505163215697
2006-11-01,12.228923613289854
2006-12-01,12.229309088879367
2007-01-01,12.229871160685336
2007-02-01,12.230088553866329
2007-03-01,12.23012317002784
2007-04-01,12.229933639499167
2007-05-01,12.228972343087923
2007-06-01,12.227140025789616
2007-07-01,12.224827589736217
2007-08-01,12.221989031616163
2007-09-01,12.21879659019385
2007-10-01,12.215224868523904
2007-11-01,12.211108641763229
2007-12-01,12.206489986216413
2008-01-01,12.201468156074935
2008-02-01,12.195611423578132
2008-03-01,12.18936746735337
2008-04-01,12.182720508103042
2008-05-01,12.175302558096433
2008-06-01,12.167090501616551
2008-07-01,12.159065569287414
2008-08-01,12.151427639765748
2008-09-01,12.144264378512409
2008-10-01,12.137359883963889
2008-11-01,12.13071912954498
2008-12-01,12.124457565245965
2009-01-01,12.118674973937376
2009-02-01,12.112549615945639
2009-03-01,12.106011073210329
2009-04-01,12.098919955583758
2009-05-01,12.090727726811647
2009-06-01,12.082314765767466
2009-07-01,12.075769609972355
2009-08-01,12.071137401849098
2009-09-01,12.067734430003645
2009-10-01,12.065320825896
2009-11-01,12.063894829280262
2009-12-01,12.063084439488799
2010-01-01,12.062512405638271
2010-02-01,12.0635736909668
2010-03-01,12.062305172602667
2010-04-01,12.058345163547
2010-05-01,12.055811678044297
2010-06-01,12.055643692462123
2010-07-01,12.053210296981847
2010-08-01,12.049227646386974
2010-09-01,12.044490470577324
2010-10-01,12.03946981938981
2010-11-01,12.033849240071
2010-12-01,12.027613064536895
2011-01-01,12.021421931158212
2011-02-01,12.015373171555987
2011-03-01,12.010016089882058
2011-04-01,12.00573917913953
2011-05-01,12.002016755710764
2011-06-01,11.998248474813368
2011-07-01,11.99498507443395
2011-08-01,11.992181999291198
2011-09-01,11.989718649116076
2011-10-01,11.987519054960217
2011-11-01,11.9854921730699
2011-12-01,11.983807412206948
2012-01-01,11.982444873334808
2012-02-01,11.981439284840592
2012-03-01,11.981731856878902
2012-04-01,11.983593127255123
2012-05-01,11.986277476885887
2012-06-01,11.988876035617672
2012-07-01,11.991480156947384
2012-08-01,11.994016268059427
2012-09-01,11.996655981541524
2012-10-01,11.999431865816748
2012-11-01,12.002709661747971
2012-12-01,12.006242501959905
2013-01-01,12.009690009604933
2013-02-01,12.013279712063076
2013-03-01,12.017800189846255
2013-04-01,12.023100574627136
2013-05-01,12.028683206063576
2013-06-01,12.034390986075568
2013-07-01,12.040205830405734
2013-08-01,12.045533981035732
2013-09-01,12.050030991892585
2013-10-01,12.0539801825035
2013-11-01,12.057749044197845
2013-12-01,12.061201058928825
2014-01-01,12.064539477930772
2014-02-01,12.067846263792568
2014-03-01,12.071172157386915
2014-04-01,12.074725937885344
2014-05-01,12.078702042344881
2014-06-01,12.082832206646835
2014-07-01,12.087011910295368
2014-08-01,12.090710061776132
2014-09-01,12.093762746757777
2014-10-01,12.096703012288598
2014-11-01,12.099913466737341
2014-12-01,12.103098742372339
2015-01-01,12.106282527250302
2015-02-01,12.109535920170167
2015-03-01,12.112963932250615
2015-04-01,12.117113436522722
2015-05-01,12.122007775487383
2015-06-01,12.126909760074794
2015-07-01,12.13171330666579
2015-08-01,12.13634825843836
2015-09-01,12.140659067498229
2015-10-01,12.144693822836691
2015-11-01,12.148594437712317
2015-12-01,12.152461772049474
2016-01-01,12.156773244860807
2016-02-01,12.161055149855393
2016-03-01,12.165286705965146
2016-04-01,12.170084283408029
2016-05-01,12.175587378428135
2016-06-01,12.181415491108735
2016-07-01,12.187424649355966
2016-08-01,12.192995360056798
2016-09-01,12.198035422182866
2016-10-01,12.203090299186417
2016-11-01,12.208277436635514
2016-12-01,12.213345114371524
2017-01-01,12.2187028004164
2017-02-01,12.224058101434949
2017-03-01,12.229349875250882
2017-04-01,12.235116399747945
2017-05-01,12.24149577002724
2017-06-01,12.247256680507764
2017-07-01,12.25265901774793
2017-08-01,12.258183708384463
2017-09-01,12.263745129153367
2017-10-01,12.268953838804475
2017-11-01,12.273992919449997
2017-12-01,12.279192681202298
2018-01-01,12.283881413296601
2018-02-01,12.289422582288374
2018-03-01,12.2971749241025
2018-04-01,12.303019151230782
